origin,dest,count,year
7,19,7610,2026
8,19,35,2026
17,19,25,2026
1,20,20,2026
7,20,3015,2026
8,20,5,2026
1,21,15,2026
4,21,10,2026
7,21,4895,2026
8,21,405,2026
9,21,555,2026
14,21,15,2026
15,21,115,2026
16,21,30,2026
17,21,135,2026
18,21,55,2026
1,22,15,2026
7,22,4135,2026
8,22,130,2026
9,22,520,2026
14,22,100,2026
15,22,70,2026
16,22,50,2026
17,22,170,2026
18,22,220,2026
2,23,5,2026
7,23,1785,2026
8,23,10,2026
9,23,60,2026
13,23,5,2026
16,23,10,2026
17,23,65,2026
2,24,1270,2026
7,24,7785,2026
8,24,190,2026
9,24,670,2026
13,24,15,2026
14,24,50,2026
15,24,100,2026
16,24,100,2026
17,24,80,2026
18,24,5,2026
7,25,2255,2026
8,25,25,2026
9,25,50,2026
7,26,3350,2026
8,26,35,2026
1,27,15,2026
2,27,19982,2026
7,27,10,2026
13,27,118,2026
1,28,5340,2026
2,28,15123,2026
3,28,122,2026
5,28,257,2026
7,28,8360,2026
9,28,36,2026
13,28,7992,2026
14,28,80,2026
15,28,400,2026
2,29,3865,2026
7,29,315,2026
15,29,150,2026
1,30,3034,2026
2,30,92024,2026
7,30,8231,2026
9,30,15,2026
13,30,2605,2026
14,30,80,2026
1,31,4570,2026
2,31,58879,2026
7,31,63534,2026
8,31,355,2026
9,31,290,2026
13,31,8348,2026
14,31,260,2026
15,31,191,2026
16,31,10,2026
18,31,60,2026
1,32,1360,2026
2,32,41477,2026
5,32,100,2026
7,32,1210,2026
9,32,50,2026
13,32,260,2026
15,32,65,2026
18,32,20,2026
1,33,60,2026
2,33,8585,2026
7,33,3441,2026
13,33,160,2026
3,34,11170,2026
7,34,177,2026
8,34,1993,2026
16,34,58870,2026
1,35,35,2026
3,35,32102,2026
7,35,85,2026
8,35,160,2026
14,35,58,2026
3,36,74680,2026
7,36,205,2026
8,36,6773,2026
14,36,7500,2026
15,36,30,2026
1,37,62,2026
3,37,28750,2026
7,37,81,2026
8,37,178,2026
14,37,55,2026
3,38,54558,2026
7,38,1050,2026
8,38,111577,2026
14,38,2680,2026
3,39,57625,2026
7,39,165,2026
8,39,1201,2026
14,39,4035,2026
15,39,3425,2026
16,39,1750,2026
17,39,360,2026
1,40,75,2026
3,40,82200,2026
7,40,84,2026
8,40,413,2026
14,40,410,2026
16,40,3508,2026
3,41,131479,2026
7,41,1590,2026
8,41,65894,2026
14,41,23207,2026
16,41,1500,2026
1,42,50,2026
3,42,210858,2026
7,42,332,2026
8,42,3974,2026
9,42,23,2026
14,42,36,2026
16,42,4500,2026
17,42,80,2026
1,43,500,2026
4,43,693,2026
7,43,38006,2026
8,43,49,2026
9,43,236,2026
14,43,1560,2026
15,43,175,2026
17,43,926,2026
1,44,207,2026
2,44,20,2026
4,44,8761,2026
7,44,30761,2026
8,44,634,2026
9,44,254,2026
13,44,178,2026
17,44,37,2026
1,45,30,2026
2,45,70,2026
3,45,1000,2026
4,45,84702,2026
7,45,44152,2026
8,45,25715,2026
9,45,8276,2026
14,45,69751,2026
15,45,990,2026
17,45,237,2026
3,46,326,2026
4,46,649,2026
7,46,42621,2026
8,46,336,2026
9,46,76,2026
14,46,3570,2026
15,46,100,2026
17,46,4472,2026
4,47,15012,2026
7,47,33750,2026
14,47,10550,2026
17,47,40,2026
1,48,410,2026
2,48,115,2026
4,48,19967,2026
7,48,1965,2026
8,48,1809,2026
9,48,492,2026
13,48,300,2026
14,48,4579,2026
4,49,14750,2026
7,49,44500,2026
8,49,811,2026
