name,id,code,lat,lon,adm_level,state_filter
Aj Jazirah,1,SD15,14.589485,33.27362,State,
Blue Nile,2,SD08,11.297455,34.127622,State,
Central Darfur,3,SD06,12.402911,23.364413,State,
East Darfur,4,SD05,11.017195,26.409638,State,
Gedaref,5,SD12,14.152377,35.106167,State,
Kassala,6,SD11,15.835927,35.856852,State,
Khartoum,7,SD01,15.851318,32.843002,State,
North Darfur,8,SD02,16.217571,25.556517,State,
North Kordofan,9,SD13,14.847728,29.761701,State,
Northern,10,SD17,19.560497,29.329767,State,
Red Sea,11,SD10,19.8416,35.70398,State,
River Nile,12,SD16,18.332291,33.463789,State,
Sennar,13,SD14,12.907198,34.042836,State,
South Darfur,14,SD03,11.00282,24.420469,State,
South Kordofan,15,SD07,11.293547,30.847982,State,
West Darfur,16,SD04,13.519303,22.616657,State,
West Kordofan,17,SD18,11.906944,28.392115,State,
White Nile,18,SD09,13.359391,32.316944,State,
Al Hasahisa,19,SD15034,14.78013,32.925545,Locality,Aj Jazirah
Al Kamlin,20,SD15035,15.128601,32.940258,Locality,Aj Jazirah
Al Manaqil,21,SD15036,14.132764,32.934234,Locality,Aj Jazirah
Al Qurashi,22,SD15037,14.305408,32.63886,Locality,Aj Jazirah
Janub Al Jazirah,23,SD15031,14.145362,33.421643,Locality,Aj Jazirah
Medani Al Kubra,24,SD15030,14.335648,33.607358,Locality,Aj Jazirah
Sharg Al Jazirah,25,SD15033,15.016972,33.602456,Locality,Aj Jazirah
Um Algura,26,SD15032,14.49061,33.907755,Locality,Aj Jazirah
Al Kurmuk,27,SD08106,10.526217,34.112256,Locality,Blue Nile
Ar Rusayris,28,SD08107,12.164843,34.581526,Locality,Blue Nile
At Tadamon - BN,29,SD08108,11.663392,33.640707,Locality,Blue Nile
Baw,30,SD08104,11.133073,33.800953,Locality,Blue Nile
Ed Damazine,31,SD08105,12.079783,34.23656,Locality,Blue Nile
Geisan,32,SD08109,11.175661,34.666003,Locality,Blue Nile
Wad Al Mahi,33,SD08110,11.607414,34.782122,Locality,Blue Nile
Azum,34,SD06110,12.882062,23.02057,Locality,Central Darfur
Bendasi,35,SD06112,12.045643,22.850442,Locality,Central Darfur
Gharb Jabal Marrah,36,SD06131,13.063795,24.006328,Locality,Central Darfur
Mukjar,37,SD06130,11.808494,23.456506,Locality,Central Darfur
Shamal Jabal Marrah,38,SD06132,13.292689,24.471027,Locality,Central Darfur
Um Dukhun,39,SD06135,11.374759,23.094016,Locality,Central Darfur
Wadi Salih,40,SD06137,12.414903,23.31342,Locality,Central Darfur
Wasat Jabal Marrah,41,SD06139,13.138674,24.276752,Locality,Central Darfur
Zalingi,42,SD06138,13.046634,23.537915,Locality,Central Darfur
Abu Jabrah,43,SD05140,10.9356,26.79963,Locality,East Darfur
Abu Karinka,44,SD05155,11.59401,26.55873,Locality,East Darfur
Ad Du'ayn,45,SD05142,11.42031,26.20074,Locality,East Darfur
Adila,46,SD05139,11.43547,27.00871,Locality,East Darfur
Al Firdous,47,SD05152,10.92772,25.9059,Locality,East Darfur
Assalaya,48,SD05163,11.672855,25.992083,Locality,East Darfur
Bahr Al Arab,49,SD05160,10.231793,26.701278,Locality,East Darfur
Shia'ria,50,SD05148,12.532951,25.693837,Locality,East Darfur
Yassin,51,SD05165,11.845257,25.577187,Locality,East Darfur
Al Butanah,52,SD12073,15.028183,34.598493,Locality,Gedaref
Al Fao,53,SD12074,14.042375,34.190523,Locality,Gedaref
Al Fashaga,54,SD12075,14.250381,35.980078,Locality,Gedaref
Al Galabat Al Gharbyah - Kassab,55,SD12078,13.535521,35.36822,Locality,Gedaref
Al Mafaza,56,SD12082,13.641604,34.491596,Locality,Gedaref
Al Qureisha,57,SD12076,13.727283,36.072089,Locality,Gedaref
Ar Rahad,58,SD12084,13.233515,34.808656,Locality,Gedaref
Basundah,59,SD12077,12.933774,35.838709,Locality,Gedaref
Gala'a Al Nahal,60,SD12079,13.335568,35.103673,Locality,Gedaref
Galabat Ash-Shargiah,61,SD12083,13.378072,35.801919,Locality,Gedaref
Madeinat Al Gedaref,62,SD12080,14.031355,35.377522,Locality,Gedaref
Wasat Al Gedaref,63,SD12081,14.15704,34.981265,Locality,Gedaref
Halfa Aj Jadeedah,64,SD11052,15.462172,35.614284,Locality,Kassala
Madeinat Kassala,65,SD11053,15.441068,36.379277,Locality,Kassala
Reifi Aroma,66,SD11055,15.814433,35.895545,Locality,Kassala
Reifi Hamashkureib,67,SD11058,16.833135,36.570315,Locality,Kassala
Reifi Kassla,68,SD11056,15.251261,36.372341,Locality,Kassala
Reifi Khashm Elgirba,69,SD11060,15.744422,34.99398,Locality,Kassala
Reifi Nahr Atbara,70,SD11062,15.68227,35.415331,Locality,Kassala
Reifi Shamal Ad Delta,71,SD11057,16.528271,35.985057,Locality,Kassala
Reifi Telkok,72,SD11059,16.182537,36.613579,Locality,Kassala
Reifi Wad Elhilaiw,73,SD11061,14.565716,36.188573,Locality,Kassala
Bahri,74,SD01003,15.998119,32.801408,Locality,Khartoum
Jebel Awlia,75,SD01001,15.361011,32.583531,Locality,Khartoum
Karrari,76,SD01005,16.087487,32.352515,Locality,Khartoum
Sharg An Neel,77,SD01004,15.725083,33.380571,Locality,Khartoum
Um Bada,78,SD01002,16.127237,32.071757,Locality,Khartoum
Um Durman,79,SD01006,15.447412,32.350618,Locality,Khartoum
Al Fasher,80,SD02114,13.779,25.37041,Locality,North Darfur
Al Koma,81,SD02116,14.09588,27.28825,Locality,North Darfur
Al lait,82,SD02169,11.941731,26.77957,Locality,North Darfur
Al Malha,83,SD02117,17.564078,25.792038,Locality,North Darfur
As Serief,84,SD02118,13.960687,23.597457,Locality,North Darfur
At Tawisha,85,SD02119,12.503779,26.59213,Locality,North Darfur
